"format_id","post_type","platform","pillar","inspired_by","hook_template","caption_template","cta_template","data_inputs","pomelli_prompt","image_prompt","video_prompt","asset_aspect","max_freq_per_month","notes"
"v2_series_episode","reel","ig+fb","discovery","Visa2explore","{state} this {month_name}: {dest_name}.","{tagline}

Why go: {why_special}

Eat: {hero_dish} at {eatery_name}
Stay: {price_range_inr}

Score: {score}/5.","Comment {state} for tomorrow's pick.","dest_name|state|tagline|why_special|hero_dish|eatery_name|price_range_inr|score|month_name","9:16 episode card. Top-left small label 'EP {episode_n} / {total_episodes}' Instrument Sans 28pt saffron. Centre title '{episode_title}' Fraunces italic 80pt vermillion on ivory. Below: '{series_name}' Crimson Pro 36pt charcoal. Bottom: 3 tiny stat chips morning/afternoon/evening with one-word labels each. Hand-numbered episode badge top-right corner styled like a TV series number plaque.","","12-second 9:16 reel. Episode card holds 2s. Then 3 quick scene cuts: morning shot (1 sec), afternoon shot (1 sec), evening shot (1 sec) — each from the real day at {dest_name}. Cut to stay exterior (2s). Cut to eatery dish close-up (2s). End frame: 'Next: Day {next_episode_n}' card with date. Acoustic guitar music. 24fps. Burned-in episode counter top-right throughout.","9:16","5","Rewired 2026-05-24 — daily dest spotlight using dest fields; episode-tracking dropped (no series data model in NakshIQ)."
"v2_local_knows","single","ig+fb","anti_trap","Mountain Trekker","What {dest_name} is actually like in {month_name}.","Skip the brochure — here's the ground truth for {dest_name}, {state}.

This month: {note}

Why it earns the trip: {why_special}.

We re-check every destination monthly. No sponsors, no recycled listicles.","Comment your destination — we'll give you the unfiltered read.","dest_name|state|month_name|note|why_special","1:1 square. Top: 'LOCAL KNOWLEDGE' Instrument Sans 24pt saffron tracking-wide. Title: '{trap_landmark}' in Fraunces italic 88pt vermillion #C73A2C with a horizontal strikethrough line through it. Below: 'in {month_name}' Crimson Pro 32pt charcoal. Bottom block on ivory: 'Locals go here instead → {local_alternative}' in Instrument Sans Bold 36pt charcoal. Tiny saffron arrow icon. Background subtle hand-drawn texture.","","","1:1","4","Hindi variant available — both phrases in Devanagari + local language (Pahari / Marathi / Tamil etc.) where applicable. Skip if local_phrase is generic English. Pair with tourist_trap data. [2026-05-20 revised: uses existing data (monthly note + why_special). The tourist_trap_alternatives table doesn't cover every dest + its API endpoint is separately broken, so this format is now an honest-read angle, not a trap join.]"
"v2_score_card_pov","reel","ig+fb","verdict","original","{dest_name} in {month_name}: {score}/5. Here's why.","Same destination, our honest read.

What's true this month: {note}

Verdict: {score}/5. Stays from ₹{price_range_inr}/night.

We score every destination monthly on weather, roads, crowds, hospitals and signal — not vibes, not sponsored lists.","Comment YES if {score}/5 feels right. NO if you'd score it differently.","dest_name|month_name|score|note|price_range_inr","9:16 closing slate (used as end-frame on reel). '{dest_name}' Fraunces italic 96pt vermillion. Score chip centre: '{score}/5' JetBrains Mono Bold 144pt charcoal on saffron pill. Below: 3 small stat chips (crowd / cost / month) in horizontal row.","","10-second 9:16 reel. Opening 2s: handheld POV walking into {dest_name}'s main viewpoint — no narration, just ambient. 3s: POV holds on the iconic view. 3s: 3 quick on-screen text overlays — 'TRUE NOW: {true_now}', 'CHANGED: {change_note}', 'STILL SKIP: {still_skip}' (1s each). Final 2s: locked-frame score card '{score}/5' punching in. Ambient sound only, no music.","9:16","6","Refresh of existing score_card format. Use when destination has fresh field observation (verification_date < 30 days). Skip if no change_note — needs the 'what changed' tension. [2026-05-20 revised: caption now uses existing data only (note + score + confidence_cards sleep price_range_inr) — no net-new editorial fields. Fires on any dest with a monthly note + stay price.]"
"v2_arrival_intel_video","reel","ig+fb","verification","original","First 4 hours at {iata}. {city}.","{iata} arrivals · what actually happens.

1. {scam_warning}
2. Pre-paid taxi counter: {prepaid_taxi}
3. SIM counter: {sim_counters}
4. ATM location: {atm_location}
5. Where to nap first night: {first_night_stay}

Verified {verification_date}.","Comment '{iata}' — we'll DM the airport map.","iata|city|state|scam_warning|prepaid_taxi|sim_counters|atm_location|first_night_stay|verification_date","9:16 end-card. Top: '{iata}' JetBrains Mono Bold 144pt vermillion on ivory. Below: '{city} · first 4 hours' Crimson Pro 40pt charcoal. 5 numbered checkboxes in saffron with one-word labels (scam / taxi / sim / atm / sleep). Bottom: 'verified {verification_date}' Instrument Sans 22pt charcoal.","","12-second 9:16 reel: handheld POV walking from {city} airport arrivals gate. Sequential cuts: airport sign with IATA (2s) → scam-warning location (2s) → pre-paid taxi counter (2s) → SIM counter (2s) → ATM (2s) → first-night hotel front (2s). Each cut has a burned-in numbered text label in upper-third saffron Instrument Sans Bold 48pt. Ambient airport sound only, no music. 24fps. Subtle handheld float.","9:16","2","Refresh of arrival_intel feed format. Hindi variant available for IATAs like DEL/BOM/HYD. Skip if any of the 5 numbered fields is null. verification_date must be < 90 days."
"v2_hidden_gem_reveal_atmo","reel","ig+fb","discovery","Tanya Khanijow","{distance_km} km from {near_destination_name}.","{gem_name}.

{why_unknown}

What you'd see: {why_go}.
How to reach: {access_note}.
Don't go in: {avoid_months}.

Pop. ~{population}. Verified {verification_date}.","Comment 📍 if you'd detour. Tag the friend who'd drive.","gem_name|near_destination_name|state|distance_km|why_unknown|why_go|access_note|avoid_months|population|verification_date","9:16 reveal slide (mid-reel). '{distance_km} km from' Crimson Pro 32pt charcoal top, then '{near_destination_name}' Fraunces italic 56pt charcoal, large arrow ↓, then '{gem_name}' Fraunces italic 96pt vermillion #C73A2C centred. Ivory background, subtle grain.","","12-second 9:16 reel. Opens with 4s of pure atmosphere: ambient sound + slow drone or handheld over the unknown destination at golden hour. NO text first 4 seconds — purely visual hook. At 4s a single text line drops in: '{distance_km} km from {near_destination_name}.' At 7s the name reveals: '{gem_name}'. Hold final 3s on a wide establishing shot. No music or very soft acoustic guitar. 24fps cinematic.","9:16","4","Refresh of hidden_gem_reveal. The 4-sec text-free atmospheric opener is the critical difference vs current feed format — data has shown text-first hooks underperform on Reels. Skip if no atmospheric video footage available for the gem."
"v2_cost_index_handwritten","single","ig+fb","verification","original","Field ledger · {dest_name} · {month_name}","{dest_name}, {state} — this {month_name}, hand-checked.

Stays: ₹{price_range_inr} (verified range across hotels + guesthouses on the ground — not scraped).

Eat: {hero_dish} at {eatery_name}.

Ground-truth note: {note}

Score: {score}/5. Re-checked monthly — never sponsored.","Comment your dest — we'll pull its real cost range next.","dest_name|state|month_name|price_range_inr|hero_dish|eatery_name|note|score","1:1 styled as a torn-edge notebook page. Cream #F8F2E6 paper, subtle grid lines. Hand-lettered title '{dest_name} · {month_name}' in a brush-script font (Caveat / Reenie Beanie) 64pt charcoal. 5 line items below in mock-handwriting, each with item name + dotted leader + ₹ amount. Big circled total ₹{price_range_inr} bottom-right with hand-drawn red marker circle. Coffee ring stain top-left. Ink-blot on one corner.","Photorealistic 1:1 of an actual travel-budget notebook page in {dest_name}. Cream paper, handwritten ₹ amounts (illegible — Pomelli card carries real values), coffee stain. Window light warm. NO logos. Style: travel-journal documentary, faint film grain.","","1:1","3","Rewired 2026-05-25 — daily ₹/hostel/midstay/thali/coffee/bus breakdown dropped (not in catalog). Uses confidence_cards stay price_range_inr + hero_dish + eatery_name + monthly note. Differentiates from v2_budget_receipt by field-ledger voice (vs receipt voice)."
"v2_weekend_escape_map","reel","ig+fb","verdict","Tanya Khanijow","{drive_hours}h from {anchor_city}: {dest_name}.","{dest_name}. {drive_hours} hours from {anchor_city}.

Best Friday→Sunday window: {best_window}.
Drive: {drive_route_note}.
Where to stay: {stay_pick_name}.
What to do: {weekend_itinerary}.

Score this month: {score}/5. Crowd: {crowd_level}.","Comment {anchor_city} for the next 3 weekend picks within {drive_hours}h.","dest_name|state|drive_hours|anchor_city|best_window|drive_route_note|stay_pick_name|weekend_itinerary|score|crowd_level","9:16 map closing slide. Top: '{anchor_city} → {dest_name}' Fraunces italic 64pt charcoal. Centre: hand-drawn arc-line from {anchor_city} point to {dest_name} point in vermillion ink-line style on cream paper. Drive-time pill '{drive_hours}h' floating above arc. Bottom: 'Friday 18:00 → Sunday 20:00' Instrument Sans 28pt charcoal. Subtle topo-map contour lines.","","10-second 9:16 reel. Cold open: Friday-evening road from {anchor_city} city limits (2s) → highway drive shot (1s) → arrival at {dest_name} (2s) → first morning view at the dest (2s) → final 3s static map card with route arc. Soft acoustic guitar. Burned-in time-stamps 'Fri 19:00 / Sat 06:30' upper-third. Comment-CTA fades in last 2s. 24fps.","9:16","4","Refresh of weekend_escape with map storytelling. Pair with weekend-from API. Skip if drive_hours > 8 (not a real weekend escape) or anchor_city is not a tier-1 metro."
"v2_festival_alert_sensory","single","ig+fb","moment","Varun Aditya","{festival_name}. {dest_name}. {start_date}.","{festival_name} · {start_date} – {end_date}

What you'll see: {visual_signature}.
What you'll hear: {sound_signature}.
What to wear: {dress_note}.
What to bring: {bring_list}.

Where: {venue}, {dest_name}, {state}.
Crowd: {crowd_expectation}. Photography: {photo_note}.","Comment {festival_name} for the field guide we made.","festival_name|dest_name|state|start_date|end_date|visual_signature|sound_signature|dress_note|bring_list|venue|crowd_expectation|photo_note","4:5 single. Top 40%: ivory #F4ECE2 with 'Festival · {start_date}' Instrument Sans 24pt saffron tracking-wide, then '{festival_name}' Fraunces italic 96pt vermillion. Bottom 60%: empty space reserved for the sensory close-up image insertion. Tiny 'venue: {venue}' caption bottom-right Instrument Sans 22pt.","Photorealistic 4:5 sensory close-up tied to {festival_name} — a single object/texture (marigolds in offering tray, oil lamps in row, prayer flag against sky, brass bell). Macro lens, shallow depth of field, natural light. NO crowd shot, NO logos, NO people facing camera. Style: National Geographic detail, documentary. Muted festival-relevant palette (marigold orange + ivory + deep indigo, or whatever fits the festival).","","4:5","4","Refresh of festival_alert with sensory single-subject vs the old crowd-shot. Skip if visual_signature is generic ('lots of people'). visual + sound signatures MUST be specific. Festivals with no offering/prop don't fit this format."
"v2_tourist_trap_split","reel","ig+fb","anti_trap","original","What you've read about {dest_name} vs what we verified.","Brochure version: {tagline}

Verified version this {month_name}: {note}

Score: {score}/5.
NakshIQ check: {verification_date}.","Comment a place whose hype doesn't match the visit.","dest_name|state|tagline|note|score|month_name|verification_date","9:16 closing card. Split horizontally: top half 'BROCHURE' label + '{brochure_promise}' Crimson Pro 42pt charcoal on ivory. Bottom half 'REAL' label + '{real_state}' Crimson Pro 42pt vermillion on deep charcoal. Thin saffron 2px divider. Both halves equal weight visually. No images — text contrast carries the story.","","10-second 9:16 split-screen reel. Left half: cinematic 'brochure' footage of {trap_name} at sunrise empty (clearly the postcard version). Right half: same {trap_name} at 4pm crowded. Both run simultaneously. At 5s, right half slides up to fill frame — the reality wins. At 7s, text drops in: 'Skip → {alternative_name} ({alt_distance_km}km).' Final 3s static. No voiceover, ambient crowd noise rising in volume.","9:16","3","Rewired 2026-05-24 — traps endpoint is empty in production. Repurposed to brochure-vs-verified using dest.tagline (marketing copy) vs dest.note (NakshIQ-verified monthly)."
"v2_women_solo_brief_video","reel","ig+fb","discovery","Tanya Khanijow","Solo, female, {dest_name} for {duration}.","{dest_name} solo, this month.

Stay (felt safe): {safe_stay_name} · {safe_stay_note}
Stay (avoid): {avoid_stay_note}
Walk routes (day): {day_routes}
Walk routes (after dark): {night_advice}
Helpline that worked: {helpline_local}

Solo-friendly score: {solo_score}/5. Crowd: {crowd_level}.","Comment your dest — we'll do the next women-solo audit.","dest_name|state|duration|safe_stay_name|safe_stay_note|avoid_stay_note|day_routes|night_advice|helpline_local|solo_score|crowd_level","9:16 reel intro. Top: 'SOLO · FEMALE · {duration}' Instrument Sans 28pt saffron tracking-wide. Centre title '{dest_name}' Fraunces italic 96pt vermillion. Solo-friendly score chip '{solo_score}/5' bottom-right on saffron pill. Layout: minimal, lots of whitespace.","","15-second 9:16 reel. POV walking through {dest_name} alone — morning street, afternoon cafe, evening market, night stay entrance. Burned-in time-stamps for each scene (07:30 / 14:00 / 18:45 / 21:20). On-screen text overlays for each: 'felt safe' / 'crowded but OK' / 'lit & busy' / 'walked back · 8 min'. No voiceover, ambient only. Sage/saffron text colour, ivory shadow. End frame: helpline card.","9:16","3","Refresh of women_solo_brief feed format. Sensitive — must reflect real verified solo travel by a woman, not synthesised. Skip if helpline_local or safe_stay_name is null. NEVER fabricate solo experience — direct loss of trust."
"v2_yt_food_capital","yt_short","yt_short_only","anti_trap","Visa2explore","Forget {famous_food_city}. {real_food_city} eats it for breakfast.","Everyone says {famous_food_city} for food. We disagree.

{real_food_city}, {state} has:
- {dish_1} at {eatery_1} · ₹{price_1}
- {dish_2} at {eatery_2} · ₹{price_2}
- {dish_3} at {eatery_3} · ₹{price_3}
- {dish_4} at {eatery_4} · ₹{price_4}

All ₹{total_inr} for a full day's eating. Verified {verification_date}.","Comment your underrated food city — we'll audit it next month.","famous_food_city|real_food_city|state|dish_1|eatery_1|price_1|dish_2|eatery_2|price_2|dish_3|eatery_3|price_3|dish_4|eatery_4|price_4|total_inr|verification_date","","","35-second 9:16 YT short. Opens 2s with text-only 'Forget {famous_food_city}.' large vermillion on ivory. 1s pause. Then '{real_food_city} eats it for breakfast.' Cuts to 4 sequential macro food shots (each 5s): {dish_1} → {dish_2} → {dish_3} → {dish_4}. Each has burned-in label '{eatery_n_name} · ₹{price_n}' saffron. Ambient eating sound + light tabla beat. Closes with 10-sec tabulated breakdown + comment CTA. 24fps cinematic. Hindi voiceover variant available.","9:16","2","Hindi variant available — narration in Hindi, English subtitles. Slots into existing yt_short listicle builder (yt_shorts_gen.py _build_listicle). Skip if all 4 dishes aren't verified at named eateries with prices."
"v2_yt_hindi_3things","yt_short","yt_short_only","verification","Mountain Trekker","{name_hi} के बारे में 3 बातें.","{name_hi}, {state}.

1. {tagline_hi}
2. {why_special_hi}
3. NakshIQ का score: {score}/5

Verified · {verification_date}.","तीसरी बात पता थी? कमेंट में बताओ.","name_hi|state|tagline_hi|why_special_hi|score|verification_date","9:16 closing slate for the YT short. Header in Devanagari '3 बातें — {dest_name}' Mukta Bold 80pt vermillion. Three numbered lines below: 'एक: {fact_1_hindi}', 'दो: {fact_2_hindi}', 'तीन: {fact_3_hindi}' Mukta 36pt charcoal. Ivory background. Bottom: 'nakshiq.com / verified {verification_date}' Instrument Sans 22pt.","","30-second 9:16 YT short. Hindi voiceover throughout. Open with {dest_name} establishing shot (3s). Fact 1: 9s footage + voice + Devanagari on-screen. Fact 2: 9s same pattern. Fact 3: 9s. End frame: comment CTA in Hindi. 24fps. Background music: subtle Indian percussion (tabla / sitar drone). Slot into existing _build_did_you_know if extended to 3 facts.","9:16","3","Rewired 2026-05-24 — uses dest.name_hi + tagline_hi + why_special_hi (all populated). Editorial Hindi facts table dropped (not in NakshIQ)."
