destination_id,month,locale,title_override,meta_description_override,status,applied_at
chakrata,may,en,"Chakrata in May: 14–26°C, all trails open","Clear skies at 14–26°C with every trail open — Tiger Falls, the Budher caves and Deoban forest all in reach. Book ahead. Verdict: 4/5.",applied,2026-05-22
somnath,june,en,"Somnath in June: humid, squally pre-monsoon","Pre-monsoon humidity and incoming squalls on the Arabian Sea coast — Jyotirlinga darshan still works, the open Triveni ghat doesn't. Verdict: 2/5.",applied,2026-05-22
yercaud,june,en,"Yercaud in June: 16–25°C, monsoon onset","The SW monsoon arrives — 16–25°C and 100–200mm rain, lighter than the Western Ghats but enough to fog Lady's Seat by afternoon. Verdict: 3/5.",applied,2026-05-22
pachmarhi,may,en,"Pachmarhi in May: 35–42°C, waterfalls dry",At 35–42°C the forest hikes are brutal by 10am and every waterfall is bone-dry. Pachmarhi's shade and water are gone — wait for July. Verdict: 1/5.,applied,2026-05-22
udupi,may,en,"Udupi in May: 28–34°C, Malpe ferry closes","Peak pre-monsoon — 28–34°C, 82% humidity, a building sea swell and thunderstorms, with the Malpe ferry closing mid-month. Verdict: 2/5.",applied,2026-05-22
lambasingi,may,en,"Lambasingi in May: 15–27°C, thundershowers","Cool for the South at 15–27°C, but pre-monsoon thundershowers, 60–100mm of rain and marginal roads. Upside: room rates at a year-low.",applied,2026-05-22
gokarna,may,en,"Gokarna in May: 28–34°C, cliff beaches close",Peak pre-monsoon at 28–34°C and 82% humidity — the cliff beaches close as the sea swell builds and thunderstorms roll in. Verdict: 2/5.,applied,2026-05-22
dharamshala,june,en,"Dharamshala in June: 18–30°C, hazy peaks","Pre-monsoon haze at 18–30°C leaves Dhauladhar views unreliable, with daily thunderstorms. Triund still works with rain gear. Verdict: 3/5.",applied,2026-05-22
chakrata,june,en,"Chakrata in June: 16–28°C, Tiger Falls roaring","Pre-monsoon 16–28°C, Tiger Falls roaring on snowmelt and forest trails still good early-month — but hazier views and passing storms. Verdict: 3/5.",applied,2026-05-22
kukke-subramanya,may,en,Kukke Subramanya in May: trek closes mid-month,"Peak pre-monsoon — 25–33°C, 82% humidity and thunderstorms, with the Kumara Parvatha trek closing mid-month. The temple stays open.",applied,2026-05-22
kabini,may,en,"Kabini in May: 20–35°C, elephant super-herds",May is Kabini's wildlife peak — 200–500+ elephants gather along the receding backwaters as the heat concentrates them at water. Verdict: 5/5.,applied,2026-05-22
gurez-valley,june,en,"Gurez Valley in June: 10–25°C, road just open","The valley opens for the season — 10–25°C, wildflower meadows and the turquoise Kishanganga. ILP required, basic homestays only. Verdict: 5/5.",applied,2026-05-22
dharmasthala,may,en,"Dharmasthala in May: 25–34°C, midday queues","Peak pre-monsoon at 25–34°C and 82% humidity, with thunderstorms and brutal midday darshan queues. Arrive early. NakshIQ verdict: 2/5.",applied,2026-05-22
mangalore,may,en,"Mangalore in May: 28–35°C, rough seas","Peak pre-monsoon — 28–35°C, 82% humidity and a rough sea, with thunderstorms through the last 10 days of the month. Verdict: 2/5.",applied,2026-05-22
barot-valley,june,en,"Barot Valley in June: 15–27°C, last clear window","The first half is the last clear window before the rains — 15–27°C, the Uhl River rising and light showers from late June. Verdict: 4/5.",applied,2026-05-22
tirthan-valley,june,en,"Tirthan Valley in June: 18–28°C, last trek window","Pre-monsoon 18–28°C — the last window for Great Himalayan NP treks before the rains, though afternoons run hot and the river swells. Verdict: 4/5.",applied,2026-05-22
tungnath,june,hi,"जून में तुंगनाथ: 10–20°C, हरे-भरे बुग्याल","ट्रेकिंग के लिए बढ़िया — 10–20°C, बुग्याल हरियाली से ढके और चंद्रशिला शिखर के साफ़ दृश्य। दोपहर बाद मानसून-पूर्व बादल घिरते हैं। NakshIQ रेटिंग: 4/5।",applied,2026-05-22
jabalpur,june,hi,"जून में जबलपुर: 28–42°C, गर्मी और उमस","मानसून-पूर्व का कठिन दौर — 28–42°C, भीषण गर्मी के साथ तेज़ उमस। भेड़ाघाट की संगमरमर चट्टानें अक्टूबर–मार्च में बेहतर। NakshIQ रेटिंग: 2/5।",applied,2026-05-22
rameswaram,june,hi,"जून में रामेश्वरम्: 27–34°C, समुद्री हवा लौटी","दक्षिण-पश्चिम मानसून की फुहारें गर्मी कुछ कम करती हैं — 27–34°C, समुद्री हवा लौटती है और मंदिर पूरे अनुष्ठान-क्रम में रहता है। NakshIQ रेटिंग: 3/5।",applied,2026-05-22
gwalior,may,hi,"मई में ग्वालियर: 41–46°C, खुला किला तपता","41–46°C — ग्वालियर का सबसे तपता महीना। रॉक-कट ग्वालियर किला, सास-बहू मंदिर और तेली का मंदिर — कहीं छाँव नहीं। अक्टूबर–मार्च बेहतर। NakshIQ रेटिंग: 1/5।",applied,2026-05-22
yamunotri,may,hi,"मई में यमुनोत्री: 8–20°C, चारधाम सीज़न चरम","मंदिर खुला, सबसे अच्छा मौसम 8–20°C — चारधाम सीज़न का चरम। जानकी चट्टी से 6 किमी की चढ़ाई आरामदेह, मंदिर पर गर्म जलकुंड। NakshIQ रेटिंग: 5/5।",applied,2026-05-22
lonavala,june,hi,जून में लोनावला: मानसून और झरने शुरू,"मानसून आते ही लोनावला बदल जाता है — झरने फूटने लगते हैं, घाटी हरी हो जाती है। पहला हफ़्ता हल्का, मध्य जून से असली जादू। NakshIQ रेटिंग: 4/5।",applied,2026-05-22
