"priority_tier","festival_slug","festival_name","destination_name","state","month_name","approximate_date","full_prompt","negative_prompt","reference_image_url","aspect_ratio","duration_seconds","save_as","status"
"A","maha-shivaratri-amaravati","Maha Shivaratri","Amaravati","andhra pradesh","February","February (Maha Shivaratri)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Deccan plateau, granite outcrops, dry scrub establishing wide shot — no figures, no signage with text. Location: Amaravati, andhra pradesh, India (the host destination of the Maha Shivaratri festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: static establishing with subtle parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/amaravati.jpg","16:9","6","maha-shivaratri-amaravati.mp4","pending"
"A","maha-shivaratri-harihareshwar","Maha Shivaratri","Harihareshwar","maharashtra","February","February–March (14th lunar day of Phalgun month)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Western Ghats plateau, fort silhouettes, monsoon waterfalls establishing wide shot — no figures, no signage with text. Location: Harihareshwar, maharashtra, India (the host destination of the Maha Shivaratri festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: static establishing, slight push-in, no figures in frame. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/harihareshwar.jpg","16:9","6","maha-shivaratri-harihareshwar.mp4","pending"
"A","maha-shivaratri-omkareshwar","Maha Shivaratri","Omkareshwar","madhya pradesh","February","February/March (Phalgun Krishna Chaturdashi)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Vindhya plateau, sandstone outcrops, sal forest establishing wide shot — no figures, no signage with text. Location: Omkareshwar, madhya pradesh, India (the host destination of the Maha Shivaratri festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: slow drone pull-back revealing the wider valley. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/omkareshwar.jpg","16:9","6","maha-shivaratri-omkareshwar.mp4","pending"
"A","maha-shivaratri-trimbakeshwar","Maha Shivaratri","Trimbakeshwar","maharashtra","February","","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Western Ghats plateau, fort silhouettes, monsoon waterfalls establishing wide shot — no figures, no signage with text. Location: Trimbakeshwar, maharashtra, India (the host destination of the Maha Shivaratri festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: static establishing, slight push-in, no figures in frame. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/trimbakeshwar.jpg","16:9","6","maha-shivaratri-trimbakeshwar.mp4","pending"
"A","maha-shivaratri-ujjain","Maha Shivaratri","Ujjain","madhya pradesh","February","February/March (Phalgun Krishna Chaturdashi)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Shipra riverbank stone steps, ancient temple skyline at distance, no figures establishing wide shot — no figures, no signage with text. Location: Ujjain, madhya pradesh, India (the host destination of the Maha Shivaratri festival — do NOT render the festival itself, only the place at this time of year). Time of day: early golden hour. Atmosphere: late-winter clarity, crisp light, dry air. Colour palette: warm amber + cold shadow. Shot type: static establishing with subtle water-surface parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/ujjain.jpg","16:9","6","maha-shivaratri-ujjain.mp4","pending"
"A","nashik-trimbakeshwar-simhastha-kumbh-mela","Nashik-Trimbakeshwar Simhastha Kumbh Mela","Trimbakeshwar","maharashtra","","","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: temple-town exterior wide shot — sandstone or granite architecture, no figures, no idols visible. Location: Trimbakeshwar, maharashtra, India (the host destination of the Nashik-Trimbakeshwar Simhastha Kumbh Mela festival — do NOT render the festival itself, only the place at this time of year). Time of day: overcast midday. Atmosphere: early monsoon — cumulus clouds, intermittent rain breaks, fresh greens. Colour palette: cool grey-green + saturated blue. Shot type: static establishing, slight push-in, no figures in frame. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: .","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/trimbakeshwar.jpg","16:9","6","nashik-trimbakeshwar-simhastha-kumbh-mela.mp4","pending"
"A","navratri","Navratri","Karla & Bhaja Caves","maharashtra","October","September–October (Shukla Paksha, Pratipada to Dashami; 9–10 days)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: Western Ghats plateau, fort silhouettes, monsoon waterfalls establishing wide shot — no figures, no signage with text. Location: Karla & Bhaja Caves, maharashtra, India (the host destination of the Navratri festival — do NOT render the festival itself, only the place at this time of year). Time of day: evening golden hour. Atmosphere: autumn warmth, returning dust, soft sunset glow. Colour palette: warm gold + violet sky. Shot type: static establishing, slight push-in, no figures in frame. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: October.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/karla-bhaja-caves.jpg","16:9","6","navratri.mp4","pending"
"A","navratri-pilgrimage-at-vaishno-devi","Navratri Pilgrimage at Vaishno Devi","Katra","jammu kashmir","October","Sharad Navratri (Sep-Oct, Ashvin month)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: long mountain road or trail receding into distance, no pilgrims visible. Location: Katra, jammu kashmir, India (the host destination of the Navratri Pilgrimage at Vaishno Devi festival — do NOT render the festival itself, only the place at this time of year). Time of day: evening golden hour. Atmosphere: autumn warmth, returning dust, soft sunset glow. Colour palette: warm gold + violet sky. Shot type: static establishing with subtle water-surface parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: October.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/katra.jpg","16:9","6","navratri-pilgrimage-at-vaishno-devi.mp4","pending"
"A","pang-lhabsol-namchi","Pang Lhabsol","Namchi","sikkim","September","Late August / Early September (15th day of 7th Tibetan lunar month)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: cloud forests, terraced ridges, Kanchenjunga distant peaks establishing wide shot — no figures, no signage with text. Location: Namchi, sikkim, India (the host destination of the Pang Lhabsol festival — do NOT render the festival itself, only the place at this time of year). Time of day: afternoon shaft-light. Atmosphere: monsoon in the hills — mist drifts through deodar forest, sun shafts breaking cloud, wet stone glistens. Colour palette: saturated emerald + silver mist. Shot type: slow drone pull-back revealing the wider valley. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: September.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/namchi.jpg","16:9","6","pang-lhabsol-namchi.mp4","pending"
"A","simhastha-kumbh-mela","Simhastha Kumbh Mela","Ujjain","madhya pradesh","April","April-May (every 12 years; next in 2028: 27 March–27 May)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: temple-town exterior wide shot — sandstone or granite architecture, no figures, no idols visible. Location: Ujjain, madhya pradesh, India (the host destination of the Simhastha Kumbh Mela festival — do NOT render the festival itself, only the place at this time of year). Time of day: evening golden hour. Atmosphere: pre-monsoon heat, light softening at dusk, dramatic cloud build-up. Colour palette: saturated warm orange. Shot type: static establishing with subtle water-surface parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: April.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/ujjain.jpg","16:9","6","simhastha-kumbh-mela.mp4","pending"
"B","cherai-pooram-gowreeswara-temple-festival","Cherai Pooram (Gowreeswara Temple Festival)","Cherai Beach","kerala","January","Late January to early February; Pooram Nakshatra day (Makaram month)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: temple-town exterior wide shot — sandstone or granite architecture, no figures, no idols visible. Location: Cherai Beach, kerala, India (the host destination of the Cherai Pooram (Gowreeswara Temple Festival) festival — do NOT render the festival itself, only the place at this time of year). Time of day: blue hour pre-dawn. Atmosphere: winter clarity, low-angle sun, mist on rivers and lakes. Colour palette: cool blue + warm tungsten contrast. Shot type: static establishing with subtle water-surface parallax. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: January.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/cherai.jpg","16:9","6","cherai-pooram-gowreeswara-temple-festival.mp4","pending"
"B","dubdi-monastery-festival","Dubdi Monastery Festival","Yuksom","sikkim","February","February (15th day of 1st Tibetan lunar month)","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: monastery exterior wide shot at altitude, empty courtyard, no flags or figures visible, light on stone. Location: Yuksom, sikkim, India (the host destination of the Dubdi Monastery Festival festival — do NOT render the festival itself, only the place at this time of year). Time of day: blue hour. Atmosphere: deep winter in the hills — snow on ridges, frozen streams, low sun raking the slope. Colour palette: icy blue + warm tungsten pinpoints. Shot type: slow drone pull-back revealing the wider valley. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: February.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/yuksom.jpg","16:9","6","dubdi-monastery-festival.mp4","pending"
"B","mahakala-dance-ralang-monastery","Mahakala Dance (Ralang Monastery)","Ravangla","sikkim","November","November","Cinematic 16:9 establishing shot, 6-8 seconds. Subject: ancient stone amphitheater steps, distant lights, no performers in frame. Location: Ravangla, sikkim, India (the host destination of the Mahakala Dance (Ralang Monastery) festival — do NOT render the festival itself, only the place at this time of year). Time of day: morning golden hour. Atmosphere: post-monsoon clarity at altitude — crystalline cold air, autumn-tinged forest, distant snow. Colour palette: warm amber + cool cobalt. Shot type: slow drone pull-back revealing the wider valley. Style: documentary register (BBC/National Geographic feel), naturalistic colour grading, soft contrast, slight film grain. Composition: rule-of-thirds horizon, depth via foreground-midground-distance layering. Reference month: November.","no people, no human figures or silhouettes in foreground, no religious figures, sadhus, priests, monks, no specific religious attire (saffron robes, ceremonial clothing), no ritual objects (deities, idols, palanquins, ceremonial fire close-ups), no temple interiors or sanctum imagery, no signage with readable text, no on-screen graphics or overlays, no synthetic / cartoony rendering, no time-of-day mismatch (respect the requested mood)","https://pub-d8970c901de34c218926ebf4be1ed09a.r2.dev/destinations/ravangla.jpg","16:9","6","mahakala-dance-ralang-monastery.mp4","pending"
