slug,festival_name,destination,state,month,bucket,footage_family,currently_live,note
periyar-flower-show,Periyar Flower Show,Thekkady (Periyar),kerala,January,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
ooty-flower-show,Ooty Flower Show,Ooty (Udagamandalam),tamil nadu,May,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
simlipal-flower-festival,Simlipal Flower Festival,Simlipal,odisha,April,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
kodai-vizha-summer-festival-and-flower-show,Kodai Vizha (Summer Festival and Flower Show),Kodaikanal,tamil nadu,May,FAMILY,flower-bloom,yes,Flower fields/beds (these ARE landscape-ok).
gangaur-festival,Gangaur Festival,Bikaner,rajasthan,March,FAMILY,folk-women,yes,Folk dress/swings/fairs. Often SUBTYPE-ish — verify.
kajli-teej,Kajli Teej,Bundi,rajasthan,August,FAMILY,folk-women,yes,Folk dress/swings/fairs. Often SUBTYPE-ish — verify.
uttarayani-fair,Uttarayani Fair,Mukteshwar,uttarakhand,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
binsar-makar-sankranti,Binsar Makar Sankranti,Binsar,uttarakhand,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
uttarayani-mela,Uttarayani Mela,Ranikhet,uttarakhand,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
attukal-pongala,Attukal Pongala,Thiruvananthapuram (Trivandrum),kerala,March,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
pongal-chennai,Pongal,Chennai,tamil nadu,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
sankranti-pongal,Sankranti / Pongal,Vijayawada,andhra pradesh,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
international-kite-festival-uttarayan,International Kite Festival (Uttarayan),Ahmedabad,gujarat,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
pongal-puducherry,Pongal,Puducherry (Pondicherry),puducherry,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
maghi-utsav-magha-chaturthi,Maghi Utsav (Magha Chaturthi),Pali (Raigad),maharashtra,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
maghi-chaturthi,Maghi Chaturthi,Theur,maharashtra,January,FAMILY,harvest-sankranti,yes,Harvest / bonfire / kite.
corbett-holi-with-elephants,Corbett Holi with Elephants,Jim Corbett National Park,uttarakhand,March,FAMILY,holi,yes,Colour powder + crowds.
hola-mohalla,Hola Mohalla,Anandpur Sahib,punjab,March,FAMILY,holi,yes,Colour powder + crowds.
lathmar-holi,Lathmar Holi,Vrindavan,uttar pradesh,March,FAMILY,holi,yes,Colour powder + crowds.
shigmo-goan-holi,Shigmo (Goan Holi),Panaji,goa,March,FAMILY,holi,yes,Colour powder + crowds.
orange-festival-of-adventure-music-ofam,Orange Festival of Adventure & Music (OFAM),Dambuk,arunachal pradesh,December,FAMILY,holi,yes,Colour powder + crowds.
kaziranga-elephant-festival,Kaziranga Elephant Festival,Kaziranga,assam,February,FAMILY,holi,yes,Colour powder + crowds.
lokrang-festival,Lokrang Festival,Bhopal,madhya pradesh,January,FAMILY,holi,yes,Colour powder + crowds.
orange-festival,Orange Festival,Tamenglong,manipur,December,FAMILY,holi,yes,Colour powder + crowds.
orange-and-tourism-festival,Orange and Tourism Festival,Jampui Hills,tripura,November,FAMILY,holi,yes,Colour powder + crowds.
braj-holi-festival,Braj Holi Festival,Deeg,rajasthan,February,FAMILY,holi,yes,Colour powder + crowds.
holi-festival-of-colours,Holi (Festival of Colours),Mathura,uttar pradesh,March,FAMILY,holi,yes,Colour powder + crowds.
lucknow-muharram-processions,Lucknow Muharram Processions,Lucknow,uttar pradesh,July,FAMILY,islamic,yes,"Mosque/dargah, no figures-of-worship close-ups."
urs-of-khwaja-moinuddin-chishti,Urs of Khwaja Moinuddin Chishti,Ajmer,rajasthan,January,FAMILY,islamic,yes,"Mosque/dargah, no figures-of-worship close-ups."
urs-of-sheikh-salim-chishti,Urs of Sheikh Salim Chishti,Fatehpur Sikri,uttar pradesh,September,FAMILY,islamic,yes,"Mosque/dargah, no figures-of-worship close-ups."
eid-ul-fitr-at-buland-darwaza,Eid ul-Fitr at Buland Darwaza,Fatehpur Sikri,uttar pradesh,April,FAMILY,islamic,yes,"Mosque/dargah, no figures-of-worship close-ups."
eid-ul-fitr-celebration,Eid-ul-Fitr Celebration,Kavaratti,lakshadweep,April,FAMILY,islamic,yes,"Mosque/dargah, no figures-of-worship close-ups."
khwaja-bande-nawaz-urs,Khwaja Bande Nawaz Urs,Gulbarga (Kalaburagi),karnataka,,FAMILY,islamic,yes,"Mosque/dargah, no figures-of-worship close-ups."
mitthe-shah-dargah-urs-fair,Mitthe Shah Dargah Urs Fair,Gagron Fort,rajasthan,September,FAMILY,islamic,no,"Mosque/dargah, no figures-of-worship close-ups."
baisakhi-amritsar,Baisakhi,Amritsar,punjab,April,FAMILY,newyear-harvest,yes,Regional new-year.
baisakhi-at-dukh-niwaran-sahib,Baisakhi at Dukh Niwaran Sahib,Patiala,punjab,April,FAMILY,newyear-harvest,yes,Regional new-year.
baisakhi-damdama-sahib,Baisakhi,Takht Sri Damdama Sahib,punjab,April,FAMILY,newyear-harvest,yes,Regional new-year.
poila-boishakh-bengali-new-year,Poila Boishakh (Bengali New Year),Kolkata,west bengal,April,FAMILY,newyear-harvest,yes,Regional new-year.
maha-shivaratri-varanasi,Maha Shivaratri,Varanasi,uttar pradesh,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
gopeshwar-shivratri-mela,Gopeshwar Shivratri Mela,Gopeshwar,uttarakhand,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
mandi-shivaratri-fair,Mandi Shivaratri Fair,Mandi,himachal pradesh,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-at-kandariya-mahadeva,Maha Shivaratri at Kandariya Mahadeva,Khajuraho,madhya pradesh,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
uttarkashi-mahadev-temple-festival-maha-shivaratri,Uttarkashi Mahadev Temple Festival (Maha Shivaratri),Uttarkashi,uttarakhand,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-at-tungnath,Maha Shivaratri at Tungnath,Tungnath,uttarakhand,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
shivratri-at-mahabaleshwar-temple,Shivratri at Mahabaleshwar Temple,Gokarna,karnataka,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivratri-at-murudeshwar,Maha Shivratri at Murudeshwar,Murudeshwar,karnataka,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-rameswaram,Maha Shivaratri,Rameswaram,tamil nadu,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-srikalahasti,Maha Shivaratri,Srikalahasti,andhra pradesh,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-at-mallikarjuna,Maha Shivaratri at Mallikarjuna,Srisailam,andhra pradesh,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-at-somnath,Maha Shivaratri at Somnath,Somnath,gujarat,March,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-amaravati,Maha Shivaratri,Amaravati,andhra pradesh,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
lepakshi-brahmotsavam-maha-shivaratri,Lepakshi Brahmotsavam (Maha Shivaratri),Lepakshi,andhra pradesh,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
shivratri-tribal-dance-mela,Shivratri Tribal Dance Mela,Maredumilli,andhra pradesh,February,FAMILY,shivaratri,no,"Temple night, no idol close-up."
bhavnath-mela-girnar-mahashivratri-mela,Bhavnath Mela (Girnar Mahashivratri Mela),Junagadh,gujarat,February,FAMILY,shivaratri,no,"Temple night, no idol close-up."
bhavnath-maha-shivaratri-mela,Bhavnath Maha Shivaratri Mela,Mount Girnar,gujarat,,FAMILY,shivaratri,no,"Temple night, no idol close-up."
maha-shivaratri-harihareshwar,Maha Shivaratri,Harihareshwar,maharashtra,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-trimbakeshwar,Maha Shivaratri,Trimbakeshwar,maharashtra,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-ujjain,Maha Shivaratri,Ujjain,madhya pradesh,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
maha-shivaratri-omkareshwar,Maha Shivaratri,Omkareshwar,madhya pradesh,February,FAMILY,shivaratri,yes,"Temple night, no idol close-up."
desert-festival,Desert Festival,Jaisalmer,rajasthan,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mewar-festival,Mewar Festival,Udaipur,rajasthan,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
marwar-festival,Marwar Festival,Jodhpur,rajasthan,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
international-yoga-festival,International Yoga Festival,Rishikesh,uttarakhand,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ladakh-festival,Ladakh Festival,Leh,ladakh,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kedarnath-opening,Kedarnath Opening,Kedarnath,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
fagli-festival-spiti-valley,Fagli Festival,Spiti Valley,himachal pradesh,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
summer-festival-shimla,Summer Festival,Shimla,himachal pradesh,May,NONE,obscure,no,No obvious authentic free footage — image fallback.
paragliding-world-cup,Paragliding World Cup,Bir Billing,himachal pradesh,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gita-jayanti,Gita Jayanti,Kurukshetra,haryana,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
elephant-festival,Elephant Festival,Jaipur,rajasthan,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
taj-mahotsav,Taj Mahotsav,Agra,uttar pradesh,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
republic-day-parade,Republic Day Parade,Delhi,delhi,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
barmer-thar-festival,Barmer Thar Festival,Barmer,rajasthan,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mallinath-cattle-fair,Mallinath Cattle Fair,Barmer,rajasthan,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bundi-utsav,Bundi Utsav,Bundi,rajasthan,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
winter-festival-mount-abu,Winter Festival Mount Abu,Mount Abu,rajasthan,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
guru-shikhar-fair,Guru Shikhar Fair,Mount Abu,rajasthan,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nawalgarh-festival,Nawalgarh Festival,Shekhawati,rajasthan,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
baneshwar-fair,Baneshwar Fair,Dungarpur,rajasthan,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
matsya-festival,Matsya Festival,Alwar,rajasthan,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
auli-winter-carnival,Auli Winter Carnival,Auli,uttarakhand,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
phool-dei,Phool Dei,Dhanaulti,uttarakhand,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
harela-festival,Harela Festival,Kausani,uttarakhand,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nanda-devi-raj-jat-yatra-munsiyari,Nanda Devi Raj Jat Yatra,Munsiyari,uttarakhand,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
valley-of-flowers-opening-season,Valley of Flowers Opening Season,Valley of Flowers,uttarakhand,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
jauhar-mela,Jauhar Mela,Chittorgarh,rajasthan,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
meera-mahotsav,Meera Mahotsav,Chittorgarh,rajasthan,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tehri-lake-festival,Tehri Lake Festival,Tehri Lake,uttarakhand,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
lansdowne-autumn-festival,Lansdowne Autumn Festival,Lansdowne,uttarakhand,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
barot-trout-festival,Barot Trout Festival,Barot Valley,himachal pradesh,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
shringa-rishi-fair,Shringa Rishi Fair,Jibhi,himachal pradesh,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kasauli-rhythm-and-blues-festival,Kasauli Rhythm and Blues Festival,Kasauli,himachal pradesh,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ladarcha-fair-keylong,Ladarcha Fair,Keylong,himachal pradesh,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mandi-nalwari-cattle-fair,Mandi Nalwari Cattle Fair,Mandi,himachal pradesh,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bhimakali-dussehra,Bhimakali Dussehra,Sarahan,himachal pradesh,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tirthan-trout-season-opening,Tirthan Trout Season Opening,Tirthan Valley,himachal pradesh,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
amarnath-yatra-start,Amarnath Yatra Start,Pahalgam,jammu kashmir,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pahalgam-spring-festival,Pahalgam Spring Festival,Pahalgam,jammu kashmir,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gurez-cultural-festival,Gurez Cultural Festival,Gurez Valley,jammu kashmir,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
patnitop-winter-carnival,Patnitop Winter Carnival,Patnitop,jammu kashmir,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bhaderwah-mela,Bhaderwah Mela,Bhaderwah,jammu kashmir,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gulmarg-winter-games,Gulmarg Winter Games,Gulmarg,jammu kashmir,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sonamarg-thajiwas-glacier-festival,Sonamarg Thajiwas Glacier Festival,Sonamarg,jammu kashmir,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nubra-valley-festival,Nubra Valley Festival,Nubra Valley,ladakh,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pangong-nomad-festival,Pangong Nomad Festival,Pangong Tso,ladakh,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
zanskar-chadar-trek-season,Zanskar Chadar Trek Season,Zanskar Valley,ladakh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
hanle-stargazing-festival,Hanle Stargazing Festival,Hanle,ladakh,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
lucknow-festival,Lucknow Festival,Lucknow,uttar pradesh,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
prayagraj-rasa-leela,Prayagraj Rasa Leela,Prayagraj,uttar pradesh,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chandigarh-carnival,Chandigarh Carnival,Chandigarh,chandigarh,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
patiala-heritage-festival,Patiala Heritage Festival,Patiala,punjab,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
buddha-mahaparinirvana-day,Buddha Mahaparinirvana Day,Kushinagar,uttar pradesh,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sravasti-international-buddhist-festival,Sravasti International Buddhist Festival,Sravasti,uttar pradesh,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
osian-camel-safari-festival,Osian Camel Safari Festival,Osian,rajasthan,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
neemrana-music-festival,Neemrana Music Festival,Neemrana,rajasthan,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
devprayag-ganga-dussehra,Devprayag Ganga Dussehra,Devprayag,uttarakhand,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
badri-kedar-festival-joshimath,Badri-Kedar Festival,Joshimath,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
rudraprayag-kartik-purnima-mela,Rudraprayag Kartik Purnima Mela,Rudraprayag,uttarakhand,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
morni-mango-blossom-festival,Morni Mango Blossom Festival,Morni Hills,haryana,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pinjore-heritage-festival,Pinjore Heritage Festival,Pinjore Gardens,haryana,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kanwar-yatra,Kanwar Yatra,Haridwar,uttarakhand,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
malana-village-fair,Malana Village Fair,Kasol,himachal pradesh,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
dudhwa-tharu-cultural-festival,Dudhwa Tharu Cultural Festival,Dudhwa National Park,uttar pradesh,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pithoragarh-hilljatra,Pithoragarh Hilljatra,Pithoragarh,uttarakhand,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chaukori-tea-festival,Chaukori Tea Festival,Chaukori,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kanatal-surkanda-devi-mela,Kanatal Surkanda Devi Mela,Kanatal,uttarakhand,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
solan-shoolini-fair,Solan Shoolini Fair,Solan,himachal pradesh,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chail-cricket-festival,Chail Cricket Festival,Chail,himachal pradesh,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kufri-winter-sports-festival,Kufri Winter Sports Festival,Kufri,himachal pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nako-lake-festival,Nako Lake Festival,Nako,himachal pradesh,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
doodhpathri-meadow-festival,Doodhpathri Meadow Festival,Doodhpathri,jammu kashmir,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
guptkashi-vishwanath-temple-festival,Guptkashi Vishwanath Temple Festival,Guptkashi,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kishtwar-saffron-festival,Kishtwar Saffron Festival,Kishtwar,jammu kashmir,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
manikaran-guru-nanak-birthday,Manikaran Guru Nanak Birthday,Manikaran,himachal pradesh,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sinthan-top-snow-festival,Sinthan Top Snow Festival,Sinthan Top,jammu kashmir,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tosamaidan-wildflower-season,Tosamaidan Wildflower Season,Tosamaidan,jammu kashmir,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
yusmarg-shepherd-festival,Yusmarg Shepherd Festival,Yusmarg,jammu kashmir,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
badrinath-temple-opening-kapaat-kholna,Badrinath Temple Opening (Kapaat Kholna),Badrinath,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
badri-kedar-festival-badrinath,Badri-Kedar Festival,Badrinath,uttarakhand,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mata-murti-ka-mela,Mata Murti Ka Mela,Badrinath,uttarakhand,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ganga-dussehra,Ganga Dussehra,Haridwar,uttarakhand,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
wildlife-week,Wildlife Week,Tadoba-Andhari Tiger Reserve,maharashtra,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gangotri-temple-opening-akshaya-tritiya,Gangotri Temple Opening (Akshaya Tritiya),Gangotri,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
darjeeling-tea-tourism-festival,Darjeeling Tea & Tourism Festival,Darjeeling,west bengal,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pang-lhabsol-gangtok,Pang Lhabsol,Gangtok,sikkim,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
khajuraho-dance-festival,Khajuraho Dance Festival,Khajuraho,madhya pradesh,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ram-raja-temple-festival-ram-navami,Ram Raja Temple Festival (Ram Navami),Orchha,madhya pradesh,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
orchha-festival,Orchha Festival,Orchha,madhya pradesh,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
torgya-festival,Torgya Festival,Tawang,arunachal pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pang-lhabsol-pelling,Pang Lhabsol,Pelling,sikkim,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kullu-winter-carnival,Kullu Winter Carnival,Kullu,himachal pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
buddha-purnima-vesak,Buddha Purnima (Vesak),Sarnath,uttar pradesh,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sarnath-light-sound-show-season,Sarnath Light & Sound Show Season,Sarnath,uttar pradesh,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nanda-devi-mela,Nanda Devi Mela,Ranikhet,uttarakhand,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sauji-fair,Sauji Fair,Palampur,himachal pradesh,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tea-festival-kangra-tea,Tea Festival (Kangra Tea),Palampur,himachal pradesh,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tungnath-temple-opening-tungnath,Tungnath Temple Opening,Tungnath,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nanda-devi-raj-jat-yatra-roopkund,Nanda Devi Raj Jat Yatra,Roopkund,uttarakhand,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nanda-ashtami-trek-gathering,Nanda Ashtami Trek Gathering,Roopkund,uttarakhand,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
yamunotri-temple-opening-akshaya-tritiya,Yamunotri Temple Opening (Akshaya Tritiya),Yamunotri,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
jageshwar-monsoon-mela,Jageshwar Monsoon Mela,Almora,uttarakhand,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mussoorie-winterline-carnival,Mussoorie Winterline Carnival,Mussoorie,uttarakhand,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nainital-autumn-festival,Nainital Autumn Festival,Nainital,uttarakhand,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nanda-devi-mahotsav,Nanda Devi Mahotsav,Nainital,uttarakhand,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chitkul-pahari-fair,Chitkul Pahari Fair,Chitkul,himachal pradesh,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
phulech-festival,Phulech Festival,Kalpa,himachal pradesh,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kinnaur-dussehra-fulaich,Kinnaur Dussehra (Fulaich),Kalpa,himachal pradesh,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tungnath-temple-opening-chopta,Tungnath Temple Opening,Chopta,uttarakhand,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kargil-vijay-diwas,Kargil Vijay Diwas,Kargil,ladakh,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
munshi-aziz-bhat-memorial-festival,Munshi Aziz Bhat Memorial Festival,Kargil,ladakh,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
lamayuru-yuru-kabgyat,Lamayuru Yuru Kabgyat,Lamayuru,ladakh,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ghepan-festival,Ghepan Festival,Sissu,himachal pradesh,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
verinag-spring-festival,Verinag Spring Festival,Verinag,jammu kashmir,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
brij-festival,Brij Festival,Bharatpur,rajasthan,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
janmashtami,Janmashtami,Vrindavan,uttar pradesh,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ziro-music-festival,Ziro Music Festival,Ziro Valley,arunachal pradesh,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sangai-festival,Sangai Festival,Imphal,manipur,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chapchar-kut,Chapchar Kut,Aizawl,mizoram,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
wangala-100-drums-festival,Wangala (100 Drums Festival),Tura,meghalaya,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
moatsu,Moatsu,Mokokchung,nagaland,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sekrenyi-kohima,Sekrenyi,Kohima,nagaland,February,NONE,obscure,no,No obvious authentic free footage — image fallback.
